1	Score
user user kalau untuk menghadapi banjir dari laut mau ga mau dibangun benteng laut seperti di luar negri , karena tanah jakarta tanahny semakin turun sedangkan disekitar jakarta tinggi , ibarat ada cekungan di jakarta numpuk dimari semua airnya , solusinya benteng laut menahan air dr laut	0
perasaan baru gue balik dari salak abis tahun baru . balik peradaban jakarta udh jd kolam . jalan nerjang banjir . tidur di pinggir rel kereta deket rumah temen karena cuma di situ yang kering . mau ke rumah udh kemaleman . airnya masih tinggi . eh tau2 mau tahun baru lagi aja ðŸ™‚	0
gimana bisa perasaan kemarin masih heboh banjir tinggi di jakarta	0
curah hujan yang mulai tinggi , pemprov dki menyiapkan anggaran khusus untuk tangani banjir jakarta hashtag url	0
laporan drone kegiatan pekerjaan : kerja bakti kali sentiong dalam rangka penanganan banjir di wilayah johar baru lokasi pekerjaan : jl . pulo gundul-tanah tinggi kec.johar baru hari/tanggal : minggu , 18 oktober 2020 dihadiri oleh : wakil gubernur dki jakarta beserta jajarannya url	4
user user luar biasa berapa m3 `` sendimentasi ' yang bisa diangkat dimana akan tambah kedalaman sungai utk daya tampung air pada musim hujan apalagi jika curah hujannya tinggi , itu langkah utk antisipasi banjir yang nyata semoga dki jakarta terbebas banjir asalkan konsisten program kerjanya ! df	0
alamak . jakarta lagi tinggi corona , di tunjang dgn banjir , warga nya bahagia dan bersukaria seperti ini saya yakin corona betah dan masuk list tetap menjadi warga dki . hashtag url	0
catatan merah lainnya al . penanggulangan banjir , covid 19 , kemacetan , tingkat polusi yang tinggi , hampir tidak ada perkembangan yang berarti rumah dp rp 0 jadi catatan merah dalam peringatan tiga tahun pemerintahan gubernur anies baswedan di dki jakarta . url	0
banjir kenangan kebanjiranðŸ˜† @ jln . kayu tinggi , cakung jakarta timur url	2
jakarta dan sekitarnya : covid tinggi omnibus law ntar lagi banjir goodjob pak !	0
[ pajak tanggap bencana ] selamat pagi , kawan perpajakan ! ã…¤ã…¤ã…¤ banjir melanda wilayah dki jakarta dan sekitarnya pada sabtu , 10 oktober 2020. banjir terjadi karena intensitas curah hujan yang tinggi . url	1
intensitas hujan tinggi mengakibatkan banjir & amp ; longsor di beberapa daerah . 7 personil yang terdiri dari baznas tanggap bencana pusat dan baznas tanggap bencana dki jakarta memberikan layanan dengan melakukan aksi evakuasi baca selengkapnya di bawah ini . url	3
rumah zakat action terjunkan 15 relawan bantu korban banjir rumah zakat action menerjunkan 15 relawan untuk ikut terlibat dalam misi kemanusiaan untuk membantu korban banjir . jakarta , rumah zakat â€“ curah hujan tinggi yang terjadi membuat aliran air kalâ€¦ url	2
user user user user user atasi banjir ? minggu lalu jaktim kebanjiran lagi , padahal tidak curah hujan tinggi . sy udah diblock sama elisa , bagi dia jakarta cuma sebesar kampung akuarium .	0
wagub dki jakarta ahmad riza patria menyebutkan posisi jakarta 40 % di bawah rata-rata permukaan laut . hal itu membuat jakarta menjadi wilayah rawan bencana , ada rob , banjir bandang , banjir kiriman dan banjir akibat debit hujan curah hujan tinggi . url	1
jakarta kembali diterjang banjir akibat curah hujan tinggi , satu orang meninggal dunia url	2
user user user user user semoga musim hujan tinggi dan jakarta banjir . demonya dari atas pohon aja . .kayak monyet . .ðŸ˜›ðŸ˜€	0
url bpbd dki jakarta mencatat tinggi muka air di sejumlah lokasi masih berstatus siaga iii pada hari ini ( minggu , 11/10/2020 ) hashtag hashtag	1
rasa kekeluargaan begitu tinggi disini . ibu , bapak kita saling menguatkan . alhamdulillah masker tambahan sudah dibagikan petugas . jaga jarak sudah di atur . semalam pukul 23.30 di lokasi longsor & amp ; banjir di jln damai , ciganjur , jagakarsa , jakarta selatan . hashtag url	3
jakarta utara dan timur waspada banjir ! tinggi muka air di pos pantau sunter hulu pada senin ( 10/10/2020 ) hingga pukul 21.00 wib terpantau 285 cm dan berstatus siaga 1/awas . warga di bantaran sungai dihimbau untu waspada karena berpotensi banjir . url	4
hashtag kp . makasar rt 07 rw 07 semakin tinggi , ketinggian sudah mencapai 1 meter user user user hashtag hashtag hashtag user url	5
banjir sudah masuk rumah , semakin tinggi hashtag hashtag url	3
perjalanan berkendara terlama dan terperjuangan gua selama tinggal di jakarta jatuh kepada : jakpus to tangsel . menerjang banjir yang cukup tinggi . beradu dengan hujan dan helm . menahan pedih nya mata yang terkena air hujan . waaahhhh . what a such a day lah pokoknya ðŸ‘Œ	1
user user iye terus banjir mulu jakarta . makin hari makin tinggi	1
tak terasa musim hujan sudah kembali lagi . waktunya warga jakarta bersiaga menghadapi banjir . melalui fitur jakpantau di aplikasi jaki , kamu bisa memantau tinggi permukaan air di sekitarmu hingga melacak kelurahan-kelurahan yang terdampak banjir . url hashtag	1
hati hati yang melewati gandaria city dari arah pondok indah banjir cukup tinggi gaess user user hashtag hashtag url url	3
user user user mangkanya di regulasi biar gk jadi banjir kya jakarta fyi sawit bikin kekeringan ngab ngrugiin daerah tersebut soalnya kebutuhan air buat sawit tinggi banget	0
jadi inget pas magang di jakarta , banjir dari jam 2 pagi , ga tidur at all , banjir se lutut sampe kamar , pas mandi mati listrik , batre hp 0 % , jalan dari perempatan pasar baru sampe ke gambir cuma buat nge charge hp . pas di jalan tinggi air udh sepaha	0
user tengok aja dulu sepupumu . si anies . anggaran dki jakarta menguap tidak jelas , bansos mampet , banjir tambah parah , angka covid19 paling tinggi dll . masih mingkem ?	0
pasca banjir , belasan petugas dari suku dinas gulkarmat jakarta selatan bersama ppsu membersihkan endapan lumpur di jalan emesde d , cipete selatan , cilandak , senin ( 6/10 ) . jalan tersebut dibersihkan dengan cara menyemprotan air bertekanan tinggi . hashtag hashtag hashtag url	3
tinggi muka air â€˜ banjir bandang â€™ jakarta url	1
curah hujan tinggi , sudin sda catat 21 titik banjir jakarta selatan url hashtag	2
sebanyak 56 wilayah di jakarta masih terendam banjir dengan tinggi berkisar 10-175 sentimeter , senin pagi . hashtag url	3
sebanyak lima rw di kelurahan kampung melayu , jatinegara , jakarta timur terendam banjir dengan tinggi berkisar 80-175 cm . hashtag url	4
pagi ini beberapa daerah di jakarta banjir lagi sejak semalam . rasanya capek banjir berjilid-jilid kayak gini . harusnya daya resap tanah/bumi masih tinggi setelah lama terjadi kemarau . air hujan sebisa mungkin dimasukkan ke dalam tanah , bukan dialirkan ke laut lewat gorong2.ðŸ¥´ url	2
top story : user 'user mayday mayday banjir semakin tinggi di kawasan kampung kecil muhajar rt004/002 kebon jeruk jakarta barat dan sudah masuk ke dalam rumah warga mohon tindakannya user ðŸ™ðŸ™ ' url see more url	5
user mayday mayday banjir semakin tinggi di kawasan kampung kecil muhajar rt004/002 kebon jeruk jakarta barat dan sudah masuk ke dalam rumah warga mohon tindakannya user ðŸ™ðŸ™ url	5
user banjir area pemukiman padat penduduk rt 01/04 , kuningan barat , mampang prapatan , jakarta selatan.waspada.evakuasi motor ke area lebih tinggi . url	4
air sungai sudah mulai naik kejalanan.didaerah pondok labu.persiapan menghadapi banjir dengan begadang sambil beres2 barang2 yang penting sambil memantau muka tinggi air yang terus meninggi.cuaca masih hujan lebat.kemungkinan hashtag mulai jam 12 mlm ini.waspadalah banjir tiba url	5
golkar dki mengingatkan kondisi penularan corona di jakarta yang masih sangat tinggi bisa berpotensi terjadi penularan di tempat pengungsian . hashtag hashtag url	0
5. lebih aman dari banjir bogor berada di dataran tinggi , jadi lebih aman deh dari ancaman banjir . selain itu , karena penduduknya gak sepadat jakarta , masalah sampah bisa lebih ditangani dan gak mengganggu sirkulasi air pas musim hujan . say no to banjir !	0
